2012,2605,קרן הניקיון,0,-157568,2013,"""002612""",פעולות,107547,,"""002603,002610""",
2012,2606,ים וחופים,0,-13528,2013,"""002613""",קרנות,7300,,"""002605,002606,002697,00260331""",
,,,,,2013,"""002626""",רזרבות,12405,,"""002698""",
,,,,,,,,,,,
2012,2697,צער בעלי חיים,1645,4630,,,,,,,
2012,2698,רזרבות,7374,0,,,,,,,
,,,,,,,,,,,
2012,2701,הקצבות המדינה על פי,20794431,20768282,2013,"""002711""",השתתפות אוצר המדינה,21287620,,"""002701""",
2012,2702,הקצבות המדינה לקצבאות,5404319,5409716,2013,"""002712""",תשלומי העברה במימון,8997578,,"""002702""",
2012,2703,הקצבות המדינה לביטוח,3682640,3666596,2013,"""002713""",השתתפות בהוצאות מינהל,349491,,"""002703""",
2012,2705,הוצאות מינהל,273273,409279,2013,"""002714""",רזרבה,947465,,"""002708""",
2012,2706,הפעלת החוק לעידוד המגזר,0,0,2013,"""002901""",משרד ראשי,186929,,"""002906, 00290801,00290803,00290805,00290806,00290807,00290809,00290811,00290816,00290817,00290818""",
2012,2708,רזרבה להתייקרויות,934519,0,2013,"""002902""",פעולות המשרד,5000,,"""00290814""",
2012,2906,שכר,142560,140793,2013,"""002903""",רשות הבדואים,0,,,לדעתי עבר לרהמ
2012,2908,פעולות,63615,89661,2013,"""002904""",רזרבות,2559,,"""00290825""",
2012,2999,חשבון מעבר,0,0,2013,"""003011""",מינהל,146398,,,
2012,3001,תחום פעולה כללי,111493,130182,2013,"""003012""",שירותי קליטה,813609,,,
2012,3002,שירותי קליטה,223226,253795,2013,"""003013""",תשלומים ישירים,405809,,,
2012,3003,טיפול בסטודנטים,31809,60577,2013,"""003014""",רזרבה,31299,,,
2012,3004,קליטה חברתית,25684,51504,,,,,,,
2012,3005,תוכנית קליטה ישירה,723849,722167,,,,,,,
2012,3006,קליטת מדענים,106397,105193,,,,,,,
2012,3007,רזרבה,37276,0,,,,,,,
2012,3008,טיפול שכונתי לקליטת,12000,7182,,,,,,,
2012,3010,עידוד העלייה,24617,49264,,,,,,,
2012,3099,חשבון מעבר,0,0,,,,,,,
2012,3202,תמיכות בייצור חקלאי,291001,433063,2013,"""003220""",סובסידיה לתחבורה,4901208,,,
2012,3203,תמיכות לפי חוק צער,4500,5075,2013,"""003230""",תמיכות במים,69061,,,
2012,3204,תמיכות אחרות,92754,96659,2013,"""003231""",הוצאות משק הדלק,141903,,,
